Date,Open,High,Low,Close,Adj Close,Volume
17/02/21,779.09,799.84,762.01,798.15,798.15,25996500
18/02/21,780.90,794.69,776.27,787.38,787.38,17957100
19/02/21,795.00,796.79,777.37,781.30,781.30,18958300
22/02/21,762.64,768.50,710.20,714.50,714.50,37269700
23/02/21,662.13,713.61,619.00,698.84,698.84,66606900
24/02/21,711.85,745.00,694.17,742.02,742.02,36767000
25/02/21,726.15,737.21,670.58,682.22,682.22,39023900
26/02/21,700.00,706.70,659.51,675.50,675.50,41089200
01/03/21,690.11,719.00,685.05,718.43,718.43,27136200
02/03/21,718.28,721.11,685.00,686.44,686.44,23732200
03/03/21,687.99,700.70,651.71,653.20,653.20,30208000
04/03/21,655.80,668.45,600.00,621.44,621.44,65919500
05/03/21,626.06,627.84,539.49,597.95,597.95,89396500
08/03/21,600.55,620.13,558.79,563.00,563.00,51787000
09/03/21,608.18,678.09,595.21,673.58,673.58,67523300
10/03/21,700.30,717.85,655.06,668.06,668.06,60605700
11/03/21,699.40,702.50,677.18,699.60,699.60,36253900
12/03/21,670.00,694.88,666.14,693.73,693.73,33583800
15/03/21,694.09,713.18,684.04,707.94,707.94,29335600
16/03/21,703.35,707.92,671.00,676.88,676.88,32195700
17/03/21,656.87,703.73,651.01,701.81,701.81,40372500
18/03/21,684.29,689.23,652.00,653.16,653.16,33224800
19/03/21,646.60,657.23,624.62,654.87,654.87,42894000
22/03/21,684.59,699.62,668.75,670.00,670.00,39512200
23/03/21,675.77,677.80,657.51,662.16,662.16,30491900
24/03/21,667.91,668.02,630.11,630.27,630.27,33795200
25/03/21,613.00,645.50,609.50,640.39,640.39,39224900
26/03/21,641.87,643.82,599.89,618.71,618.71,33852800
29/03/21,615.64,616.48,596.02,611.29,611.29,28637000
30/03/21,601.75,637.66,591.01,635.62,635.62,39432400
31/03/21,646.62,672.00,641.11,667.93,667.93,33337300
01/04/21,688.37,692.42,659.42,661.75,661.75,35298400
05/04/21,707.71,708.16,684.70,691.05,691.05,41842800
06/04/21,690.30,696.55,681.37,691.62,691.62,28271800
07/04/21,687.00,691.38,667.84,670.97,670.97,26309400
08/04/21,677.38,689.55,671.65,683.80,683.80,23924300
09/04/21,677.77,680.97,669.43,677.02,677.02,21437100
12/04/21,685.70,704.80,682.09,701.98,701.98,29135700
13/04/21,712.70,763.00,710.66,762.32,762.32,44652800
14/04/21,770.70,780.79,728.03,732.23,732.23,49017400
15/04/21,743.10,743.69,721.31,738.85,738.85,27848900
16/04/21,728.65,749.41,724.60,739.78,739.78,27979500
19/04/21,719.60,725.40,691.80,714.63,714.63,39686200
20/04/21,717.42,737.25,710.69,718.99,718.99,35609000
21/04/21,704.77,744.84,698.00,744.12,744.12,31215500
22/04/21,741.50,753.77,718.04,719.69,719.69,35590300
23/04/21,719.80,737.36,715.46,729.40,729.40,28370000
26/04/21,741.00,749.30,732.61,738.20,738.20,31038500
27/04/21,717.96,724.00,703.35,704.74,704.74,29437000
28/04/21,696.41,708.50,693.60,694.40,694.40,22271000
29/04/21,699.51,702.25,668.50,677.00,677.00,28845400
30/04/21,667.59,715.47,666.14,709.44,709.44,40758700
03/05/21,703.80,706.00,680.50,684.90,684.90,27043100
04/05/21,678.94,683.45,657.70,673.60,673.60,29739300
05/05/21,681.06,685.30,667.34,670.94,670.94,21901900
06/05/21,680.76,681.02,650.00,663.54,663.54,27784600
07/05/21,665.80,690.00,660.22,672.37,672.37,23469200
10/05/21,664.90,665.05,627.61,629.04,629.04,31392400
